district,province,urban_male,urban_female,urban_total,rural_male,rural_female,rural_total,total_male,total_female,total_both,year
Ghorak,Kandhar,,,0,4600,4400,9000,4600,4400,9000,1389
Maiwand,Kandhar,,,0,28000,27200,55200,28000,27200,55200,1389
Spin Boldak,Kandhar,,,0,54800,51700,106500,54800,51700,106500,1389
Nesh,Kandhar,,,0,6400,6200,12599.999,6400,6200,12599.999,1389
Miyanishin,Kandhar,,,0,7300,6900,14200,7300,6900,14200,1389
Shorabak,Kandhar,,,0,5500,5300,10800,5500,5300,10800,1389
Maruf,Kandhar,,,0,15900,15200,31100,15900,15200,31100,1389
Reg,Kandhar,,,0,4300,4100,8400,4300,4100,8400,1389
province Center (Sheberghan),Juzjan,37100,36000,73100,41800,40700,82500,78900,76700,155599.98,1389
Khwaja Dukoh,Juzjan,,,0,12900,12400,25300,12900,12400,25300,1389
Khanaqa,Juzjan,,,0,18800,18200,37000,18800,18200,37000,1389
Mingajik,Juzjan,,,0,20700,19700,40400,20700,19700,40400,1389
Qush Tepa,Juzjan,,,0,11300,10800,22100,11300,10800,22100,1389
Khamyab,Juzjan,,,0,6700,6400,13100,6700,6400,13100,1389
Aqchah,Juzjan,11200,10700,21900,17400,16800,34200,28600,27500,56100.004,1389
Faizabad,Juzjan,,,0,20000,19100,39100,20000,19100,39100,1389
Mardyan,Juzjan,,,0,18300,17900,36200,18300,17900,36200,1389
Qarqin,Juzjan,3500,3400,6900,8200,8000,16200.001,11700,11400,23100,1389
Darzab,Juzjan,900,900,1800,22700,21700,44400,23600,22600,46200,1389
province Center (Maimana),Faryab,38300,36600,74900,,,0,38300,36600,74900,1389
Pashtun kot,Faryab,,,0,91300,86200,177500,91300,86200,177500,1389
Khuwaja Sabz Posh –i-Wali,Faryab,,,0,24500,23200,47700,24500,23200,47700,1389
Almar,Faryab,,,0,33500,32600,66100,33500,32599.998,66100,1389
Balcheragh,Faryab,,,0,25200,23900,49100,25200,23900,49100,1389
Sherin Tagab,Faryab,,,0,39100,37500,76600,39100,37500,76600,1389
Qaisar,Faryab,,,0,68500,65400.00000000001,133900,68500,65400,133900,1389
Garziwan,Faryab,,,0,36200,35200,71400,36200,35200,71400,1389
Dawlat Abad,Faryab,2300,2300,4600,20900,20100,41000,23199.998,22400,45600.004,1389
Hissa-e-Awali Kohistan,Faryab,,,0,26100,25200,51300,26100,25200,51300,1389
Qaram Qul,Faryab,,,0,9300,9200,18500,9300,9200,18500,1389
Qurghan,Faryab,,,0,22400,21900,44300,22400,21900,44300,1389
Andkhoy,Faryab,14900,14700,29600,3800,3700,7500,18700,18400,37100,1389
Khan –i-Charbagh,Faryab,,,0,11100,10700,21800,11100,10700,21800,1389
province Center (Lashkargah),Helmand,20800,18900,39700,29100,27600,56700,49900,46500,96400,1389
Nad Ali,Helmand,,,0,56900,54200,111100,56900,54200,111100,1389
Nawa-i- Barikzayi,Helmand,,,0,44900,42600,87500,44900,42600,87500,1389
Nahr-i- Saraj,Helmand,4900,4500,9400,51700,49200,100900,56600.004,53700,110299.99,1389
Washer,Helmand,,,0,7500,7200,14700,7500,7200,14700,1389
Garm Ser,Helmand,,,0,42500,40200,82700,42500,40200,82700,1389
Nawzad,Helmand,,,0,24500,23300,47800,24500,23300,47800,1389
Sangin,Helmand,,,0,28900,27400,56300,28900,27400,56300,1389
Musa Qala,Helmand,,,0,28500,27100,55600,28500,27100,55600,1389
Kajaki,Helmand,,,0,34400,32700,67100,34400,32700,67100,1389
Reg-i-Khan Nishin,Helmand,,,0,12700,12000,24700,12700,12000,24700,1389
Baghran,Helmand,,,0,39400,37400,76800,39400,37400,76800,1389
Dishu,Helmand,,,0,9800,9400,19199.998,9800,9400,19199.998,1389
province Center (Qala-i- Now),Badghis,6800,6400,13200,24900,23800,48700,31699.998,30199.998,61900,1389
Ab Kamari,Badghis,,,0,35400,33800,69200,35400,33800,69200,1389
Muqur,Badghis,,,0,11400,10900,22300,11400,10900,22300,1389
Qadis,Badghis,,,0,44100,41500,85600,44100,41500,85600,1389
Murghab,Badghis,,,0,46700,44700,91400,46700,44700,91400,1389
Jawand,Badghis,,,0,37600,36600,74200,37600,36600,74200,1389
Ghormach,Badghis,,,0,26400,25400,51800,26400,25400,51800,1389
province Center (Herat),Herat,208600,202100,410700,,,0,208600,202100,410700,1389
Enjil,Herat,,,0,117000,113100,230100,117000,113100,230100,1389
Guzera (Nizam-i- Shahid),Herat,,,0,70000,68100,138100,70000,68100,138100,1389
Karrukh,Herat,3300,3000,6300,27100,26700,53800,30400,29700,60100,1389
Zendahjan,Herat,,,0,27000,26800,53800,27000,26800,53800,1389
Pashtun Zarghun,Herat,,,0,48100,46200,94300,48100,46200,94300,1389
Kushk (Rubat-i-Sangi),Herat,7700,7700,15400,51300,50100,101400,59000,57800,116800,1389
Gulran,Herat,,,0,44300,44200,88500,44300,44200,88500,1389
Adraskan,Herat,,,0,25400,25100,50500,25400,25100,50500,1389
Kushk-i- Kuhna,Herat,,,0,21800,21200,43000,21800,21200,43000,1389
Ghoryan,Herat,16000,15300,31300,26000,25400,51400,42000,40700,82700,1389
Obeh,Herat,1600,1600,3200,34600,33400,68000,36199.996,35000,71200,1389
Kohsan,Herat,,,0,25600,25500,51100,25600,25500,51100,1389
Shindand,Herat,2400,2200,4600,82200,81200,163400,84600,83399.992,168000,1389
Farsi,Herat,,,0,14900,13900,28800,14900,13900,28800,1389
Chishti Sharif,Herat,,,0,11400,11000,22400,11400,11000,22400,1389
province Center (Farah),Farah,17300,16100,33399.996,36200,34700,70900,53500,50800,104299.99,1389
Posht Road,Farah,,,0,19700,18600,38300,19700,18600,38300,1389
Khak-i-safed,Farah,,,0,14500,14000,28500,14500,14000,28500,1389
Qala-i-kah,Farah,,,0,14700,14300,29000,14700,14300,29000,1389
Sheibkoh,Farah,,,0,11200,10800,22000,11200,10800,22000,1389
Bala Blook,Farah,,,0,34600,32600,67200,34600,32599.998,67200,1389
Anar Dara,Farah,,,0,13400,12800,26200,13400,12800,26200,1389
Bakwa,Farah,,,0,17100,16300,33399.996,17100,16299.999,33399.996,1389
Lash-i- Jaween,Farah,,,0,13500,12800,26300,13500,12800,26300,1389
Gulestan,Farah,,,0,20900,19900,40800,20900,19900,40800,1389
Pur Chaman,Farah,,,0,26100,24200,50300,26100,24200,50300,1389
province Center (Zaranj),Nimroz,12100,11600,23700,14900,14200,29100,27000,25800,52800.004,1389
Kang,Nimroz,,,0,10700,10400,21100,10700,10400,21100,1389
Asl-i-chakhansur,Nimroz,,,0,11400,10900,22300,11400,10900,22300,1389
Char Burjak,Nimroz,,,0,12800,12000,24800,12800,12000,24800,1389
Khashrod,Nimroz,,,0,12200,11700,23900,12200,11700,23900,1389
Dularam,Nimroz,,,0,3200,3000,6200,3200,3000,6200,1389
province Center (Kabul),Kabul,1639900,1528500,3168400,,,0,1639900,1528500,3168400,1390
Paghman,Kabul,10400,9500,19900,49300,46800,96100,59700,56300,116000,1390
Chahar Asyab,Kabul,,,0,18200,16900,35100.004,18200,16900,35100.004,1390
Bagrami,Kabul,,,0,27200,25800,53000,27200,25800,53000,1390
Deh Sabz,Kabul,,,0,26500,25200,51700,26500,25200,51700,1390
Shakar Dara,Kabul,,,0,40000,38700,78700,40000,38700,78700,1390
Musahi,Kabul,,,0,11500,10900,22400,11500,10900,22400,1390
Mir Bacha kot,Kabul,,,0,25300,24700,50000,25300,24700,50000,1390
Khak-i-Jabar,Kabul,,,0,7100,6600,13700,7100,6600,13700,1390
Kalakan,Kabul,,,0,14800,14200,29000,14800,14200,29000,1390
Guldara,Kabul,,,0,11200,10700,21900,11200,10700,21900,1390
Farza,Kabul,,,0,10600,10000,20600,10600,10000,20600,1390
Estalef,Kabul,,,0,16400,15700,32099.998,16400,15700,32099.998,1390
Qara Bagh,Kabul,,,0,37200,35800,73000,37200,35800,73000,1390
Surubi,Kabul,,,0,27000,26100,53100,27000,26100,53100,1390
province Center (Mahmood Raqi),Kapisa,800,600,1400,30200,29800,60000,31000,30400,61400,1390
Hissa-e-Duwumi Kohistan,Kapisa,,,0,21800,21200,43000,21800,21200,43000,1390
Koh Band,Kapisa,,,0,11200,11200,22400,11200,11200,22400,1390
Hissa-e-Awali Kohistan,Kapisa,,,0,32800,32300,65100,32800,32300,65100,1390
Nijrab,Kapisa,,,0,54300,53200,107500,54300,53200,107500,1390
Tagab,Kapisa,,,0,38700,38700,77400,38700,38700,77400,1390
Alasai,Kapisa,,,0,18600,17600,36200,18600,17600,36200,1390
province Center (Charikar),Parwan,26600,26100,52700,58800,56500,115300,85400,82600,168000,1390
Bagram,Parwan,,,0,50000,49100,99100,50000,49100,99100,1390
Shinwari,Parwan,,,0,19900,19500,39400,19900,19500,39400,1390
Saidkheil,Parwan,,,0,22300,21400,43700,22300,21400,43700,1390
Jabull saraj,Parwan,800,800,1600,30100,29300,59400,30900,30100,61000,1390
Salang,Parwan,,,0,12500,12400,24900,12500,12400,24900,1390
syahgird ('Ghurband),Parwan,,,0,46200,46300,92500,46200,46300,92500,1390
Koh-e- Safi,Parwan,,,0,14900,14700,29600,14900,14700,29600,1390
Surkhi parsa,Parwan,,,0,19900,19200,39100,19900,19200,39100,1390
Shaykh Ali,Parwan,,,0,12000,11600,23600,12000,11600,23600,1390
province Center (Maidan Shahr),Wardak,1400,1400,2800,18200,17500,35700,19600,18900,38500,1390
Nerkh,Wardak,,,0,28100,26400,54500,28100,26400,54500,1390
Jalrez,Wardak,,,0,25800,24900,50700,25800,24900,50700,1390
Chak-e- Wardak,Wardak,,,0,41400,39300,80700.008,41400,39300,80700.008,1390
Sayyid Abad,Wardak,,,0,56900,54200,111100,56900,54200,111100,1390
Daimir Dad,Wardak,,,0,15100,14600,29700,15100,14600,29700,1390
Hissa-e- awali Behsud,Wardak,,,0,18000,17400,35400,18000,17400,35400,1390
Jaghatoo,Wardak,,,0,22200,21500,43700,22200,21500,43700,1390
Markaz-e- Behsud,Wardak,,,0,57900,56200,114100,57900,56200,114100,1390
province Center(Puli Alam),Logar,2600,2500,5100,48700,47300,96000,51300,49800,101100,1390
Baraki Barak,Logar,2000,2000,4000,40500,39100,79600,42500,41100,83600,1390
Charkh,Logar,,,0,21600,20900,42500,21600,20900,42500,1390
khushi,Logar,,,0,11700,11400,23100,11700,11400,23100,1390
Mohammad Agha,Logar,,,0,36900,35300,72200.008,36900,35300,72200.008,1390
Khar war,Logar,,,0,12700,12400,25100,12700,12400,25100,1390
Azra,Logar,,,0,10000,9400,19400,10000,9400,19400,1390
province Center (Jalalabad),Ningarhar,103200,97200,200400,,,0,103200,97200,200400,1390
Behsud,Ningarhar,,,0,55200,53500,108700,55200,53500,108700,1390
Surkh Rud,Ningarhar,,,0,59300,55900,115200,59300,55900,115200,1390
Chapar har,Ningarhar,,,0,29300,28300,57600,29300,28300,57600,1390
Kama,Ningarhar,,,0,37700,35800,73500,37700,35800,73500,1390
Kuzkunar,Ningarhar,,,0,27100,25500,52600,27100,25500,52600,1390
Rodat,Ningarhar,,,0,33900,32100,66000,33900,32099.998,66000,1390
Khogyani,Ningarhar,2200,2100,4300,61800,58600,120400,64000,60700,124700,1390
Bati Kot,Ningarhar,,,0,36900,35500,72400,36900,35500,72400,1390
Deh Bala,Ningarhar,,,0,19800,18800,38600,19800,18800,38600,1390
Pachir Waagam,Ningarhar,,,0,20900,19800,40700,20900,19800,40700,1390
Darah -e- Noor,Ningarhar,,,0,19700,18900,38600.004,19700,18900,38600.004,1390
Kott,Ningarhar,,,0,25200,24600,49800,25200,24600,49800,1390
Goshta,Ningarhar,,,0,13300,12800,26100,13300,12800,26100,1390
Achin,Ningarhar,,,0,48800,47100,95900,48800,47100,95900,1390
Shinwar,Ningarhar,,,0,29200,28100,57300,29200,28100,57300,1390
Muhmand ِِDara,Ningarhar,,,0,22000,20900,42900,22000,20900,42900,1390
Lalpoor,Ningarhar,,,0,10000,9600,19600,10000,9600,19600,1390
Sher Zad,Ningarhar,,,0,32200,31100,63300,32200,31100,63300,1390
Nazyan,Ningarhar,,,0,7300,6700,14000,7300,6700,14000,1390
Hesarak,Ningarhar,,,0,15000,14400,29400,15000,14400,29400,1390
Dur Baba,Ningarhar,,,0,11500,10800,22300,11500,10800,22300,1390
province Center (Mehterlam),Laghman,2500,2200,4700,61100,58000,119100,63600,60200,123800,1390
Qarghayee,Laghman,,,0,48000,45700,93700,48000,45700,93700,1390
Alishing,Laghman,,,0,34900,33400,68300,34900,33400,68300,1390
Alingar,Laghman,,,0,47400,45100,92500,47400,45100,92500,1390
Dawlat Shah,Laghman,,,0,16300,15500,31800,16299.999,15500,31800,1390
Bad pakh,Laghman,,,0,3600,3500,7100,3600,3500,7100,1390
province Center (Bazarak),Panjshir,,,0,9200,8700,17900,9200,8700,17900,1390
Rukha,Panjshir,,,0,11200,10700,21900,11200,10700,21900,1390
Darah,Panjshir,,,0,12100,11700,23800.002,12100,11700,23800.002,1390
Hissa-e- Awal (Khinj),Panjshir,,,0,19600,18600,38200,19600,18600,38200,1390
Unaba,Panjshir,,,0,8900,8300,17199.998,8900,8300,17199.998,1390
Shutul,Panjshir,,,0,5300,5200,10500,5300,5200,10500,1390
Paryan,Panjshir,,,0,7200,7000,14200,7200,7000,14200,1390
province Center (Pul-i-Khumri),Baghlan,50700,48200,98900,51800,49000,100800,102500,97200,199700,1390
Dahana-e-Ghuri,Baghlan,800,700,1500,28100,26700,54800,28900,27400,56300,1390
Dooshi,Baghlan,,,0,32700,31300,64000,32700,31300,64000,1390
Nahreen,Baghlan,2500,2200,4700,31500,29900,61400,34000,32099.998,66100,1390
Baghlan-e- Jadeed,Baghlan,31900,31700,63600,51300,49200,100500,83200,80900,164100,1390
Khenjan,Baghlan,,,0,14800,14300,29100,14800,14300,29100,1390
Andarab,Baghlan,,,0,12500,11900,24400,12500,11900,24400,1390
Deh Salah,Baghlan,,,0,15800,14700,30500,15800,14700,30500,1390
Burka,Baghlan,,,0,25900,24500,50400,25900,24500,50400,1390
Khwaja hejran (Jalga),Baghlan,,,0,11800,11000,22800,11800,11000,22800,1390
Talah-o-barfak,Baghlan,,,0,14900,13900,28800,14900,13900,28800,1390
Pul –e-Hisar,Baghlan,,,0,13700,12700,26400,13700,12700,26400,1390
Khost –o-Fereng,Baghlan,,,0,31000,29300,60300,31000,29300,60300,1390
Gozargah-e- Noor,Baghlan,,,0,5100,4600,9700,5100,4600,9700,1390
Freng-o-Gharoo,Baghlan,,,0,8100,7800,15900.001,8100.0005,7800,15900.001,1390
province Center (Bamyan),Bamyan,5900,5900,11800,33800,33900,67700,39700,39800,79500,1390
Shebar,Bamyan,,,0,14600,13600,28200,14600,13600,28200,1390
Saighan,Bamyan,,,0,11700,11200,22900,11700,11200,22900,1390
Kohmard,Bamyan,,,0,17800,17000,34800,17800,17000,34800,1390
Yakawlang,Bamyan,,,0,42500,41100,83600,42500,41100,83600,1390
Panjab,Bamyan,,,0,32900,32300,65200.004,32900,32300,65200.004,1390
Waras,Bamyan,,,0,52900,51400,104300,52900,51400,104300,1390
province Center(Ghazni),Ghazni,28200,27000,55200,50600,49000,99600,78800,76000,154800,1390
Khogiani,Ghazni,,,0,9900,9300,19199.998,9900,9300,19199.998,1390
Khwaja Omari,Ghazni,,,0,9100,9000,18100,9100,9000,18100,1390
Waghaz,Ghazni,,,0,19000,17900,36900,19000,17900,36900,1390
Deh Yak,Ghazni,,,0,23800,22900,46700,23800,22900,46700,1390
Jaghatoo,Ghazni,,,0,15500,14800,30300,15500,14800,30300,1390
Andar,Ghazni,,,0,61200,58000,119200,61200,58000,119200,1390
Zanakhan,Ghazni,,,0,6200,5800,12000,6200,5800,12000,1390
Rashidan,Ghazni,,,0,8800,8400,17200,8800,8400,17200,1390
Nawur,Ghazni,,,0,46000,44500,90500,46000,44500,90500,1390
Qara Bagh,Ghazni,,,0,69800,66800,136600,69800,66800,136600,1390
Giro,Ghazni,,,0,18200,16800,35000,18200,16800,35000,1390
Ab Band,Ghazni,,,0,13600,12700,26300.002,13600,12700,26300.002,1390
Jaghuri,Ghazni,,,0,86000,82800,168800,86000,82800,168800,1390
Muqur,Ghazni,,,0,24900,23200,48100,24900,23200,48100,1390
Malestan,Ghazni,,,0,39400,39000,78400,39400,39000,78400,1390
Gelan,Ghazni,,,0,28300,27000,55300,28300,27000,55300,1390
Ajristan,Ghazni,,,0,14200,13400,27600,14200,13400,27600,1390
Nawa,Ghazni,,,0,14600,13800,28400,14600,13800,28400,1390
province Center(Sharan),Paktika,1400,1200,2600,23200,22100,45300,24600,23300,47899.996,1390
Mata Khan,Paktika,,,0,12200,11600,23800,12200,11600,23800,1390
Yosuf Khel,Paktika,,,0,6600,6300,12900,6600,6300,12900,1390
Yahya Khel,Paktika,,,0,8500,8100,16600,8500,8100.0005,16600,1390
Sar Rawza,Paktika,,,0,11400,10800,22199.998,11400,10800,22199.998,1390
Omna,Paktika,,,0,6000,5600,11600,6000,5600,11600,1390
Zarghun Shahr,Paktika,,,0,14600,13900,28500,14600,13900,28500,1390
Gomal,Paktika,,,0,3800,3600,7400,3800,3600,7400,1390
Jani Khel,Paktika,,,0,11800,11100,22900,11800,11100,22900,1390
Surubi,Paktika,,,0,6100,5900,12000,6100,5900,12000,1390
Urgoon,Paktika,,,0,27100,25700,52800,27100,25700,52800,1390
Ziruk,Paktika,,,0,9400,9000,18400,9400,9000,18400,1390
Nika,Paktika,,,0,6200,5700,11900,6200,5700,11900,1390
Barmal,Paktika,,,0,17100,16200,33300,17100,16200.001,33300,1390
Giyan,Paktika,,,0,17100,16200,33300,17100,16200.001,33300,1390
Dela-wa-khoshmand,Paktika,,,0,12400,11700,24100,12400,11700,24100,1390
Wazakhwah,Paktika,,,0,11300,10800,22100,11300,10800,22100,1390
Wormamay,Paktika,,,0,1700,1700,3400,1700,1700,3400,1390
Turwo,Paktika,,,0,1000,1000,2000,1000,1000,2000,1390
province Center(Gardez),Paktia,11500,11100,22600,29100,27900,57000,40600,39000,79600,1390
Ahmad Abad,Paktia,,,0,13400,13300,26699.998,13400,13300,26699.998,1390
Zurmat,Paktia,,,0,52600,50200,102799.99,52600,50200,102799.99,1390
Shwak,Paktia,,,0,2700,2600,5300,2700,2600,5300,1390
Wuza Zadran,Paktia,,,0,17500,16400,33900,17500,16400,33900,1390
Said Karam,Paktia,,,0,31600,29900,61500,31600,29900,61500,1390
Jaji,Paktia,,,0,30900,29300,60200,30900,29300,60200,1390
Laja Ahmad khel,Paktia,,,0,11200,10600,21800,11200,10600,21800,1390
Jani Khel,Paktia,,,0,17200,16200,33400,17200,16200.001,33400,1390
Samkani,Paktia,,,0,24100,23700,47800,24100,23700,47800,1390
Dand Patan,Paktia,,,0,13000,12300,25300,13000,12300,25300,1390
laja mangel,Paktia,,,0,9100,8900,18000,9100,8900,18000,1390
province Center(Khost),Khost,5500,5200,10700,61400,59400,120800,66900,64600,131500,1390
Manduzay (Esmayel khil),Khost,,,0,27800,26200,54000,27800,26200,54000,1390
Gurbuz,Khost,,,0,12900,12100,25000,12900,12100,25000,1390
Tanay,Khost,,,0,29000,28000,57000,29000,28000,57000,1390
Musa khel,Khost,,,0,20000,19200,39200,20000,19200,39200,1390
Nadir Shah kot,Khost,,,0,15700,14700,30400,15700,14700,30400,1390
Sabari (Yaqubi),Khost,,,0,34500,33300,67800,34500,33300,67800,1390
Tirzayee (Ali Sher),Khost,,,0,22000,20700,42700,22000,20700,42700,1390
Baak,Khost,,,0,10800,10400,21200,10800,10400,21200,1390
Qalandar,Khost,,,0,5100,4700,9800,5100,4700,9800,1390
Spera,Khost,,,0,12000,11200,23200,12000,11200,23200,1390
Shamul,Khost,,,0,6700,6300,13000,6700,6300,13000,1390
Jaji Maidan,Khost,,,0,11900,11100,23000,11900,11100,23000,1390
province Center (Asad Abad),Kunar,6600,6100,12700,9800,9200,19000,16400,15300,31700,1390
Mara wara,Kunar,,,0,9900,9700,19600,9900,9700,19600,1390
Watapoor,Kunar,,,0,13400,12800,26199.998,13400,12800,26199.998,1390
Narang Wa Badil,Kunar,,,0,14700,14200,28900,14700,14200,28900,1390
Sar Kani,Kunar,,,0,13200,12800,26000,13200,12800,26000,1390
Shigal Wa Sheltan,Kunar,,,0,14300,13700,28000,14300,13700,28000,1390
Dara-e- Pech,Kunar,,,0,26900,25400,52300,26900,25400,52300,1390
Bar Kunar,Kunar,,,0,10700,10300,21000,10700,10300,21000,1390
Sawkai,Kunar,,,0,17500,16600,34100,17500,16600,34100,1390
Khas Kunar,Kunar,,,0,17000,16500,33500,17000,16500,33500,1390
Ghazi Abad,Kunar,,,0,9100,8800,17900,9100,8800,17900,1390
Dangam,Kunar,,,0,8300,7900,16200.001,8300,7900,16200.001,1390
Chapa Dara,Kunar,,,0,15300,14400,29700,15300,14400,29700,1390
Noorgal,Kunar,,,0,15600,14600,30200,15600,14600,30200,1390
Nari,Kunar,,,0,13600,12800,26400,13600,12800,26400,1390
province Center (Paroon),Nooristan,,,0,6600,6300,12900,6600,6300,12900,1390
Waygal,Nooristan,,,0,9900,8900,18800,9900,8900,18800,1390
Wama,Nooristan,,,0,5400,5200,10600,5400,5200,10600,1390
Noor Gram,Nooristan,,,0,15900,15100,31000,15900,15100,31000,1390
Duab,Nooristan,,,0,3700,3800,7500,3700,3800,7500,1390
Kamdish,Nooristan,,,0,12000,12100,24100,12000,12100,24100,1390
Mandol,Nooristan,,,0,9800,9100,18900,9800,9100,18900,1390
Bargi Matal,Nooristan,,,0,7400,7400,14800,7400,7400,14800,1390
province center (Faiz Abad),Badakhshan,15800,15100,30900,16500,16100,32599.998,32300,31200,63500,1390
Urgo,Badakhshan,,,0,38500,36400,74900,38500,36400,74900,1390
Arghanj Khwah,Badakhshan,,,0,7800,7600,15400.001,7800,7600,15400.001,1390
Yaftal-e-Sufla,Badakhshan,,,0,25400,25100,50500,25400,25100,50500,1390
Khash,Badakhshan,,,0,18600,17900,36500,18600,17900,36500,1390
Baharak,Badakhshan,,,0,13800,13700,27500,13800,13700,27500,1390
Darayem,Badakhshan,,,0,29900,29000,58900,29900,29000,58900,1390
Hissa-e-Awali Kohistan,Badakhshan,,,0,8200,7600,15800,8200,7600,15800,1390
Yawan,Badakhshan,,,0,16000,15100,31100,16000,15100,31100,1390
Jurm,Badakhshan,1800,1600,3399.9998,16400,16100,32500,18200,17700,35899.996,1390
Tashkan,Badakhshan,,,0,14700,13800,28500,14700,13800,28500,1390
Shuhada,Badakhshan,,,0,17000,16100,33100,17000,16100,33100,1390
Shahr-i-Buzurg,Badakhshan,,,0,25300,24700,50000,25300,24700,50000,1390
Raghistan,Badakhshan,,,0,19400,18400,37800,19400,18400,37800,1390
Kishm,Badakhshan,,,0,39600,37800,77400,39600,37800,77400,1390
Wardooj,Badakhshan,,,0,10700,10200,20900,10700,10200,20900,1390
Tagab,Badakhshan,,,0,13700,13100,26800,13700,13100,26800,1390
Yamgan(Girwan),Badakhshan,,,0,12700,11900,24600,12700,11900,24600,1390
Sheghnan,Badakhshan,,,0,13700,12900,26600,13700,12900,26600,1390
Khwahan,Badakhshan,,,0,8000,7900,15900,8000,7900,15900,1390
Kufab,Badakhshan,,,0,10700,10700,21400,10700,10700,21400,1390
Darwaz-e- Payin (Mamay),Badakhshan,,,0,12800,12500,25300,12800,12500,25300,1390
Eshkashem,Badakhshan,,,0,6700,6500,13200,6700,6500,13200,1390
Shiki,Badakhshan,,,0,12700,12500,25200,12700,12500,25200,1390
Zebak,Badakhshan,,,0,3900,3600,7500,3900,3600,7500,1390
Keren –o-Menjan,Badakhshan,,,0,4600,4500,9100,4600,4500,9100,1390
Darwaz-e- Bala (Nesay),Badakhshan,,,0,11100,11000,22100,11100,11000,22100,1390
Wakhan,Badakhshan,,,0,7300,7000,14300,7300,7000,14300,1390
province Center (Taluqan),Takhar,33800,33200,67000,75600,72300,147900,109400,105500,214900.02,1390
Hazar Sumuch,Takhar,,,0,6700,6400,13099.999,6700,6400,13099.999,1390
Baharak,Takhar,,,0,15100,14500,29600,15100,14500,29600,1390
Bangi,Takhar,,,0,17000,16600,33600,17000,16600,33600,1390
Chal,Takhar,,,0,13900,13000,26900,13900,13000,26900,1390
Namak Ab,Takhar,,,0,6000,5700,11700,6000,5700,11700,1390
Kalafgan,Takhar,,,0,17000,16700,33700,17000,16700,33700,1390
Farkhar,Takhar,1200,1300,2500,21600,20700,42300,22800,22000,44800,1390
Khwaja Ghar,Takhar,3300,3200,6500,29300,28200,57500,32599.998,31400,64000,1390
Rustaq,Takhar,6100,5800,11900,74300,70600,144900.02,80400,76400,156800,1390
Eshkamesh,Takhar,,,0,28500,27900,56400,28500,27900,56400,1390
Dashti Qala,Takhar,,,0,15500,15100,30600,15500,15100,30600,1390
Warsaj,Takhar,,,0,18700,17600,36300,18700,17600,36300,1390
Khwaja Bahawuddin,Takhar,,,0,11100,11100,22200,11100,11100,22200,1390
Darqad,Takhar,,,0,13400,12400,25800,13400,12400,25800,1390
Chahab,Takhar,11300,10700,22000,27000,25900,52900,38300,36600,74900,1390
Yangi Qala,Takhar,4600,4200,8800,17100,16500,33600,21700,20700,42400,1390
province Center (Kunduz),Kunduz,71800,67800,139600,80300,77900,158200,152100,145700,297800.03,1390
Chahar Darah,Kunduz,,,0,35700,34500,70200,35700,34500,70200,1390
Ali Abad,Kunduz,,,0,22800,22300,45100,22800,22300,45100,1390
Khan Abad,Kunduz,19600,18500,38100,58100,57300,115400,77700,75800,153500,1390
Hazrati Imam Sahib,Kunduz,16600,15900,32500,96400,92900,189300,113000,108800,221799.98,1390
Dasht-i- Archi,Kunduz,1600,1400,3000,39500,38400,77900,41100,39800,80900,1390
Qala –i-Zal,Kunduz,9000,8400,17400,24800,24100,48899.996,33800,32500,66300,1390
province Center (Aybak),Samangan,13500,13500,27000,36600,34900,71500,50100,48400,98500,1390
Hazrat –i-Sultan,Samangan,,,0,20500,19100,39600,20500,19100,39600,1390
Khuram Wa Sarbagh,Samangan,,,0,19400,18700,38100,19400,18700,38100,1390
Feroz Nakhcheer,Samangan,,,0,6400,6100,12500,6400,6100,12500,1390
Rui- Do- Ab,Samangan,,,0,22700,20900,43600.004,22700,20900,43600.004,1390
Dara -e-soof-i-Payin,Samangan,,,0,35200,33100,68300,35200,33100,68300,1390
Dara -e-soof-e- Bala,Samangan,,,0,31300,30600,61899.996,31300,30600,61899.996,1390
province Center (Mazar-e- sharif),Balkh,183200,173900,357100,,,0,183200,173900,357100,1390
Nahr-i-shahi,Balkh,,,0,21900,21000,42900,21900,21000,42900,1390
Dehdadi,Balkh,,,0,33000,31500,64500,33000,31500,64500,1390
Char kent,Balkh,,,0,21800,20700,42500,21800,20700,42500,1390
Marmul,Balkh,,,0,5500,5400,10900,5500,5400,10900,1390
Balkh,Balkh,7400,7000,14400,50800,49100,99900,58200,56100,114299.99,1390
Sholgara,Balkh,4900,4700,9600,50700,48400,99100,55600,53100,108700,1390
Chamtal,Balkh,,,0,44600,43000,87600,44600,43000,87600,1390
Dawlat Abad,Balkh,5200,4800,10000,46100,44100,90200,51300,48900,100200,1390
Khulm,Balkh,23800,22400,46200,10900,10500,21400,34700,32900,67600.008,1390
Char Bolak,Balkh,,,0,39500,38000,77500,39500,38000,77500,1390
Shortepa,Balkh,,,0,19400,18400,37800,19400,18400,37800,1390
Kaldar,Balkh,,,0,9800,9300,19100,9800,9300,19100,1390
Koshendah,Balkh,,,0,23700,22800,46500,23700,22800,46500,1390
Zari,Balkh,,,0,21400,20600,42000,21400,20600,42000,1390
province Center (Sar-e-Pul),Sar-i-Pul,14500,13700,28200,61600,58300,119900,76100,72000,148100,1390
Sayyad,Sar-i-Pul,,,0,27000,25200,52200,27000,25200,52200,1390
Kohistanat,Sar-i-Pul,,,0,39200,37300,76500,39200,37300,76500,1390
