Farah,Anar Dara,rural_female,11600,11800,12100,12200,12400,12600,12800,13000,13300,13500,13700,13920,14149,14313
Farah,Anar Dara,rural_male,12100,12300,12600,12700,12900,13200,13400,13600,13800,14000,14300,14521,14758,15067
Farah,Anar Dara,rural_total,23700,24100,24700,24900,25300,25800,26200,26600,27100,27500,28000,28441,28907,29380
Farah,Anar Dara,total_both,23700,24100,24700,24900,25300,25800,26200,26600,27100,27500,28000,28441,28907,29380
Farah,Anar Dara,total_female,11600,11800,12100,12200,12400,12600,12800,13000,13300,13500,13700,13920,14149,14313
Farah,Anar Dara,total_male,12100,12300,12600,12700,12900,13200,13400,13600,13800,14000,14300,14521,14758,15067
Farah,Anar Dara,urban_female,,,,,,,,,,,,,,
Farah,Anar Dara,urban_male,,,,,,,,,,,,,,
Farah,Anar Dara,urban_total,,,,,,,,,,,,,,
Ghazni,Andar,rural_female,51600,52600,53700,54200,55200,56100,57000,58000,59000,60000,60900,61923,62937,63663
Ghazni,Andar,rural_male,54500,55600,56800,57300,58300,59300,60300,61200,62300,63300,64400,65403,66475,67861
Ghazni,Andar,rural_total,106100,108200,110500,111500,113500,115400,117300,119200,121300,123300,125300,127326,129412,131524
Ghazni,Andar,total_both,106100,108200,110500,111500,113500,115400,117300,119200,121300,123300,125300,127326,129412,131524
Ghazni,Andar,total_female,51600,52600,53700,54200,55200,56100,57000,58000,59000,60000,60900,61923,62937,63663
Ghazni,Andar,total_male,54500,55600,56800,57300,58300,59300,60300,61200,62300,63300,64400,65403,66475,67861
Ghazni,Andar,urban_female,,,,,,,,,,,,,,
Ghazni,Andar,urban_male,,,,,,,,,,,,,,
Ghazni,Andar,urban_total,,,,,,,,,,,,,,
Baghlan,Andarab,rural_female,10600,10800,11000,11200,11300,11500,11700,11900,12100,12300,12500,12721,12929,13079
Baghlan,Andarab,rural_male,11100,11300,11600,11700,11900,12100,12300,12500,12700,12900,13100,13321,13539,13821
Baghlan,Andarab,rural_total,21700,22100,22600,22900,23200,23600,24000,24400,24800,25200,25600,26042,26468,26900
Baghlan,Andarab,total_both,21700,22100,22600,22900,23200,23600,24000,24400,24800,25200,25600,26042,26468,26900
Baghlan,Andarab,total_female,10600,10800,11000,11200,11300,11500,11700,11900,12100,12300,12500,12721,12929,13079
Baghlan,Andarab,total_male,11100,11300,11600,11700,11900,12100,12300,12500,12700,12900,13100,13321,13539,13821
Baghlan,Andarab,urban_female,,,,,,,,,,,,,,
Baghlan,Andarab,urban_male,,,,,,,,,,,,,,
Baghlan,Andarab,urban_total,,,,,,,,,,,,,,
Faryab,Andkhoy,rural_female,3300,3400,3400,3500,3500,3600,3700,3700,3800,3800,3900,3960,4025,4072
Faryab,Andkhoy,rural_male,3400,3500,3500,3600,3600,3700,3800,3800,3900,3900,4000,4080,4147,4234
Faryab,Andkhoy,rural_total,6700,6900,6900,7100,7100,7300,7500,7500,7700,7700,7900,8040,8172,8306
Faryab,Andkhoy,total_both,32400,33200,33600,34600,35300,36200,37100,37800,38700,39400,40400,41241,42143,43063
Faryab,Andkhoy,total_female,16100,16500,16700,17200,17600,18000,18400,18800,19200,19600,20100,20496,20944,21633
Faryab,Andkhoy,total_male,16300,16700,16900,17400,17700,18200,18700,19000,19500,19800,20300,20745,21199,21430
Faryab,Andkhoy,urban_female,12800,13100,13300,13700,14100,14400,14700,15100,15400,15800,16200,16536,16919,17561
Faryab,Andkhoy,urban_male,12900,13200,13400,13800,14100,14500,14900,15200,15600,15900,16300,16665,17052,17196
Faryab,Andkhoy,urban_total,25700,26300,26700,27500,28200,28900,29600,30300,31000,31700,32500,33201,33971,34757
Juzjan,Aqchah,rural_female,15200,15500,15800,16000,16300,16500,16800,17100,25100,25400,25900,26281,26712,27022
Juzjan,Aqchah,rural_male,15700,16000,16400,16500,16800,17100,17400,17600,25900,26400,26800,27241,27688,28266
Juzjan,Aqchah,rural_total,30900,31500,32200,32500,33100,33600,34200,34700,51000,51800,52700,53522,54400,55288
Juzjan,Aqchah,total_both,49900,50900,52000,52900,53900,54900,56100,57100,73900,75300,76700,78067,79515,80985
Juzjan,Aqchah,total_female,24500,25000,25500,26000,26500,26900,27500,28100,36300,36900,37600,38295,39005,39782
Juzjan,Aqchah,total_male,25400,25900,26500,26900,27400,28000,28600,29000,37600,38400,39100,39772,40510,41203
Juzjan,Aqchah,urban_female,9300,9500,9700,10000,10200,10400,10700,11000,11200,11500,11700,12014,12293,12760
Juzjan,Aqchah,urban_male,9700,9900,10100,10400,10600,10900,11200,11400,11700,12000,12300,12531,12822,12937
Juzjan,Aqchah,urban_total,19000,19400,19800,20400,20800,21300,21900,22400,22900,23500,24000,24545,25115,25697
Kandhar,Arghandab,rural_female,25600,26100,26700,26900,27400,27800,28300,28800,29200,29700,30200,30722,31225,31584
Kandhar,Arghandab,rural_male,27100,27600,28200,28500,29000,29500,30000,30500,31000,31500,32000,32521,33054,33744
Kandhar,Arghandab,rural_total,52700,53700,54900,55400,56400,57300,58300,59300,60200,61200,62200,63243,64279,65328
Kandhar,Arghandab,total_both,52700,53700,54900,55400,56400,57300,58300,59300,60200,61200,62200,63243,64279,65328
Kandhar,Arghandab,total_female,25600,26100,26700,26900,27400,27800,28300,28800,29200,29700,30200,30722,31225,31584
Kandhar,Arghandab,total_male,27100,27600,28200,28500,29000,29500,30000,30500,31000,31500,32000,32521,33054,33744
Kandhar,Arghandab,urban_female,,,,,,,,,,,,,,
Kandhar,Arghandab,urban_male,,,,,,,,,,,,,,
Kandhar,Arghandab,urban_total,,,,,,,,,,,,,,
Zabul,Arghandab,rural_female,13500,13800,14100,14200,14400,14700,14900,15200,15400,15700,15900,16201,16466,16656
Zabul,Arghandab,rural_male,14300,14600,14900,15000,15300,15600,15800,16100,16300,16600,16900,17161,17442,17806
Zabul,Arghandab,rural_total,27800,28400,29000,29200,29700,30300,30700,31300,31700,32300,32800,33362,33908,34462
Zabul,Arghandab,total_both,27800,28400,29000,29200,29700,30300,30700,31300,31700,32300,32800,33362,33908,34462
Zabul,Arghandab,total_female,13500,13800,14100,14200,14400,14700,14900,15200,15400,15700,15900,16201,16466,16656
Zabul,Arghandab,total_male,14300,14600,14900,15000,15300,15600,15800,16100,16300,16600,16900,17161,17442,17806
Zabul,Arghandab,urban_female,,,,,,,,,,,,,,
Zabul,Arghandab,urban_male,,,,,,,,,,,,,,
Zabul,Arghandab,urban_total,,,,,,,,,,,,,,
Badakhshan,Arghanj Khwah,rural_female,6800,6900,7100,7200,7300,7400,7500,7600,7700,7900,8000,8160,8294,8391
Badakhshan,Arghanj Khwah,rural_male,6900,7000,7200,7200,7400,7500,7600,7800,7900,8000,8200,8280,8416,8591
Badakhshan,Arghanj Khwah,rural_total,13700,13900,14300,14400,14700,14900,15100,15400,15600,15900,16200,16440,16710,16982
Badakhshan,Arghanj Khwah,total_both,13700,13900,14300,14400,14700,14900,15100,15400,15600,15900,16200,16440,16710,16982
Badakhshan,Arghanj Khwah,total_female,6800,6900,7100,7200,7300,7400,7500,7600,7700,7900,8000,8160,8294,8391
Badakhshan,Arghanj Khwah,total_male,6900,7000,7200,7200,7400,7500,7600,7800,7900,8000,8200,8280,8416,8591
Badakhshan,Arghanj Khwah,urban_female,,,,,,,,,,,,,,
Badakhshan,Arghanj Khwah,urban_male,,,,,,,,,,,,,,
Badakhshan,Arghanj Khwah,urban_total,,,,,,,,,,,,,,
Kandhar,Arghistan,rural_female,14300,14600,14900,15000,15300,15600,15800,16100,16300,16600,16900,17161,17442,17644
Kandhar,Arghistan,rural_male,15000,15300,15600,15800,16000,16300,16600,16900,17100,17400,17700,18001,18296,18677
Kandhar,Arghistan,rural_total,29300,29900,30500,30800,31300,31900,32400,33000,33400,34000,34600,35162,35738,36321
Kandhar,Arghistan,total_both,29300,29900,30500,30800,31300,31900,32400,33000,33400,34000,34600,35162,35738,36321
Kandhar,Arghistan,total_female,14300,14600,14900,15000,15300,15600,15800,16100,16300,16600,16900,17161,17442,17644
Kandhar,Arghistan,total_male,15000,15300,15600,15800,16000,16300,16600,16900,17100,17400,17700,18001,18296,18677
Kandhar,Arghistan,urban_female,,,,,,,,,,,,,,
Kandhar,Arghistan,urban_male,,,,,,,,,,,,,,
Kandhar,Arghistan,urban_total,,,,,,,,,,,,,,
Nimroz,Asl-i-chakhansur,rural_female,9900,10100,10300,10400,10600,10800,10900,11100,11300,11500,11700,11881,12075,12215
Nimroz,Asl-i-chakhansur,rural_male,10300,10500,10700,10800,11000,11200,11400,11600,11800,11900,12100,12360,12563,12825
Nimroz,Asl-i-chakhansur,rural_total,20200,20600,21000,21200,21600,22000,22300,22700,23100,23400,23800,24241,24638,25040
Nimroz,Asl-i-chakhansur,total_both,20200,20600,21000,21200,21600,22000,22300,22700,23100,23400,23800,24241,24638,25040
Nimroz,Asl-i-chakhansur,total_female,9900,10100,10300,10400,10600,10800,10900,11100,11300,11500,11700,11881,12075,12215
Nimroz,Asl-i-chakhansur,total_male,10300,10500,10700,10800,11000,11200,11400,11600,11800,11900,12100,12360,12563,12825
